source,run,model,model_short,served_by,study,mode,temperature,top_p,seed,tag,thinking,reasoning_effort,samples,calls,arms_asked,arms_parsed,parse_rate,spend_usd,wall_clock_s,smoke,bytes_gz,sha256_gz,sha256_jsonl
local_slate,2026-08-31_Gemma4-26B_broockman_listwise_t050_s1,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,broockman,listwise,0.5,0.95,1,,False,,8,336,1376,1376,1.0,0.0,9.8,False,44605,32a9524042c129363ee532037b7d7475dfe229d306bee83fdad846465cf507f6,e6af3f2247315e2c3c911151fdc139bbd3381325733a01962453785fa1690008
local_slate,2026-08-31_Gemma4-26B_broockman_listwise_t050_s1-rep,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,broockman,listwise,0.5,0.95,1,rep,False,,8,336,1376,1376,1.0,0.0,7.9,False,44605,32a9524042c129363ee532037b7d7475dfe229d306bee83fdad846465cf507f6,e6af3f2247315e2c3c911151fdc139bbd3381325733a01962453785fa1690008
local_slate,2026-08-31_Gemma4-26B_broockman_listwise_t050_s1-think,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,broockman,listwise,0.5,0.95,1,think,True,xhigh,8,336,1376,1284,0.9331,0.0,1435.6,False,49169,82554183657b6cb86fec1f02b88abf0b3e015ee95409b4faeeed6ce8c3a0d6a3,2de3a356a296d2ff612b7f2fb2ab3c7f05c012e032779dd00e5e4ca31e4a32b5
local_slate,2026-08-31_Gemma4-26B_broockman_listwise_t050_s2,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,broockman,listwise,0.5,0.95,2,,False,,8,336,1376,1376,1.0,0.0,7.5,False,44746,592a44ebb860abef831152221a3846b9d75a2b12482f8763c8c71a9c8dca5366,8b9f3b3e965bd2e335d725539128faac44b00733c370bd1482190979e58f345c
local_slate,2026-08-31_Gemma4-26B_doell_listwise_t050_s1,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,doell,listwise,0.5,0.95,1,,False,,8,16,176,176,1.0,0.0,4.1,False,3162,7c63e2340db80a72b1f57216ec51d445f445b040b9325bb65366c3d98ab65cd0,689f45fc7fb344e523a6667938e710a857acb0bef637ee8f1d2dbfa6ba95fd49
local_slate,2026-08-31_Gemma4-26B_doell_listwise_t050_s2,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,doell,listwise,0.5,0.95,2,,False,,8,16,176,176,1.0,0.0,3.9,False,3086,412cd661cfaae6917799c0c8999dee931f98772ab0d097fbd4612488ae458e62,17f1b5099b5e1e803db603f0125ad2723097bf970aa2f702e216b11888c765ec
local_slate,2026-08-31_Gemma4-26B_voelkel2025_listwise_t050_s1,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,voelkel2025,listwise,0.5,0.95,1,,False,,8,32,320,320,1.0,0.0,5.6,False,4433,ad41f531f6f1f2fc286ba8603b981442cebe26e8cec7568c696531b644ecc553,a16a50e3941ffbbf11bf28be3f3b2e8ad0a8788e2fbe34da87c3ea8199e853d0
local_slate,2026-08-31_Gemma4-26B_voelkel2025_listwise_t050_s1-rep,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,voelkel2025,listwise,0.5,0.95,1,rep,False,,8,32,320,320,1.0,0.0,5.6,False,4433,ad41f531f6f1f2fc286ba8603b981442cebe26e8cec7568c696531b644ecc553,a16a50e3941ffbbf11bf28be3f3b2e8ad0a8788e2fbe34da87c3ea8199e853d0
local_slate,2026-08-31_Gemma4-26B_voelkel2025_listwise_t050_s1-think,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,voelkel2025,listwise,0.5,0.95,1,think,True,xhigh,8,32,320,320,1.0,0.0,107.4,False,4680,40acc39fe27c47b20960403d48d2af27495a99c021c2350fd89b516be0843266,68ffe49c7e6dad37b9ce07adaaa89c490a516c601c1be2cf2de185aaf5aa7154
local_slate,2026-08-31_Gemma4-26B_voelkel2025_listwise_t050_s2,google/gemma-4-26B-A4B-it,Gemma4-26B,local vLLM offline engine,voelkel2025,listwise,0.5,0.95,2,,False,,8,32,320,320,1.0,0.0,5.6,False,4337,2d4d27ff77754bd071b92eab55bd8bd06e442ee4ca8699f57f8f232a465f6cf4,4ea95c5d153d392be823e5741e01b2bd982008d5a947287f5401b5e65b9283de
